"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT-TD,USA,Commercial,Earth Observation,576,2019-12-11
Aalto-1 ,Aalto-1,Finland,Civil,Technology Development,517,2017-06-23
AAUSat-4,AAUSat-4,Denmark,Civil,Earth Observation,687,2016-04-25
"ABS-2 (Koreasat-8, ST-3)",ABS-2,Multinational,Commercial,Communications,"35,793",2014-02-06
ABS-2A,ABS-2A,Multinational,Commercial,Communications,"35,700",2016-06-15
ABS-3A ,ABS-3A,Multinational,Commercial,Communications,"35,803",2015-03-02
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,Multinational,Commercial,Communications,"35,793",2004-03-13
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,Multinational,Commercial,Communications,"35,794",1999-09-26
Adelis-Sampson 1,Adelis-Sampson 1,Israel,Government,Technology Development,561,2021-03-22
Adelis-Sampson 2,Adelis-Sampson 2,Israel,Government,Technology Development,599,2021-03-22
Adelis-Sampson 3,Adelis-Sampson 3,Israel,Government,Technology Development,561,2021-03-22
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,USA,Military,Earth Observation,"35,800",2020-12-11
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,Military,Earth Observation,"36,013",1998-05-09
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,Military,Earth Observation,"35,984",2003-09-09
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,Military,Earth Observation,"35,937",2009-01-18
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,Military,Earth Observation,"35,500",2010-11-21
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,Military,Earth Observation,"35,805",2012-06-29
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,Military,Earth Observation,"35,903",2016-06-11
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,Military,Communications,"35,801",2012-05-03
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,USA,Military,Communications,"35,803",2013-09-18
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,Military,Communications,"35,790",2018-10-17
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,Military,Communications,"35,810",2019-08-08
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,Military,Communications,"35,780",2020-03-26
Aeneas,Aeneas,USA,Government,Technology Development,790,2012-09-13
Aeolus,Aeolus,ESA,Government,Earth Observation,317,2018-08-22
Aerocube 10A (Jimsat),Aerocube 10A,USA,Commercial,Technology Development,481,2019-08-09
Aerocube 10B (Dougsat),Aerocube 10B,USA,Commercial,Technology Development,483,2019-08-09
Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,USA,Commercial,Technology Development,511,2018-12-17
Aerocube 11B (TOMSat R3),Aerocube 11B,USA,Commercial,Technology Development,511,2018-12-17
Aerocube 12A,Aerocube 12A,USA,Commercial,Technology Development,487,2018-07-16
Aerocube 12B,Aerocube 12B,USA,Commercial,Technology Development,487,2018-07-16
Aerocube 14A,Aerocube 14A,USA,Military,Technology Development,474,2020-01-31
Aerocube 14B,Aerocube 14B,USA,Military,Technology Development,474,2020-01-31
Aerocube 15A,Aerocube 15A,USA,Military,Technology Development,474,2020-01-31
Aerocube 5C,Aerocube 5C,USA,Commercial,Technology Development,802,2015-10-08
Aerocube 6A,Aerocube 6A,USA,Commercial,Technology Development,700,2014-06-19
Aerocube 6B,Aerocube 6B,USA,Commercial,Technology Development,700,2014-06-19
Aerocube 7A,Aerocube 7A,USA,Commercial,Technology Development,802,2015-10-08
Aerocube 7B,Aerocube 7B,USA,Commercial,Technology Development,437,2017-11-12
Aerocube 7C,Aerocube 7C,USA,Commercial,Technology Development,437,2017-11-12
Aerocube 8C,Aerocube 8C,USA,Commercial,Technology Development,584,2016-11-11
Aerocube 8D,Aerocube 8D,USA,Commercial,Technology Development,584,2016-11-11
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,Multinational,Commercial,Communications,"35,808",2008-12-20
AII-Bravo,AII-Bravo,USA,Commercial,Communications,613,2021-04-29
AII-Charlie,AII-Charlie,USA,Commercial,Communications,535,2021-01-24
AIM (Aeronomy of Ice in Mesosphere),AIM,USA,Government,Earth Observation,552,2007-04-25
AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Government,Communications,632,2010-07-12
AISSat-2 (Automatic Identification System Satellite-2),AISSat-2,Norway,Government,Communications,631,2014-07-08
AISTechSat-2,AISTechSat-2,Spain,Commercial,Earth Observation,592,2018-12-03
AISTechSat-3,AISTechSat-3,Spain,Commercial,Earth Observation,506,2019-04-01
Al Yah-3,Al Yah-3,United Arab Emirates,Commercial,Communications,"35,796",2018-01-25
Alcomsat (Algerian Communications Satellite),Alcomsat,Algeria,Government,Communications,"35,798",2017-12-10
ALE-2 (Astro Live Experiences-2),ALE-2,Japan,Commercial,Earth Science,414,2019-12-06
Al-Farabi-2,Al-Farabi-2,Kazakhstan,Civil,Technology Development,589,2018-12-03
ALiCE  (AFIT LEO iMESA CNT E),ALiCE,USA,Military,Technology Development,886,2013-12-06
Alsat-1B,Alsat-1B,Algeria,Government,Earth Observation,704,2016-09-26
Alsat-1N,AlSat-1N,Algeria,Government,Technology Development,698,2016-09-26
Alsat-2A (Algeria Satellite 2A),Alsat-2A,Algeria,Government,Earth Observation,674,2010-07-12
Alsat-2B,Alsat-2B,Algeria,Government,Earth Observation,660,2016-09-26
Amazonas-2,Amazonas-2,Spain,Commercial,Communications,"35,805",2009-10-01
Amazonas-3,Amazonas-3,Spain,Commercial,Communications,"35,791",2013-02-07
Amazonas-4A,Amazonas-4A,Spain,Commercial,Communications,"35,795",2014-03-22
Amazonas-5,Amazonas-5,Spain,Commercial,Communications,"35,789",2017-09-12
Amazonia-1 (SSR-1),Amazonia-1,Brazil,Government,Earth Observation,764,2021-02-28
"AMC-1 (Americom 1, GE-1)",AMC-1,USA,Commercial,Communications,"35,800",1996-09-08
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,Commercial,Communications,"35,797",2004-05-19
AMC-15 (Americom-15),AMC-15,USA,Commercial,Communications,"35,795",2004-10-14
AMC-18 (Americom 18),AMC-18,USA,Commercial,Communications,"35,800",2006-12-08
"AMC-2 (Americom 2, GE-2)",AMC-2,USA,Commercial,Communications,"35,798",1997-01-30
AMC-21 (Americom 21),AMC-21,USA,Commercial,Communications,"35,793",2008-08-14
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,Commercial,Communications,"35,791",1999-11-13
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,Commercial,Communications,"35,795",2000-10-22
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,Commercial,Communications,"35,798",2000-12-19
AmGU-1 (AmurSat-1),AmGU-1,Russia,Civil,Space Science,547,2019-07-05
Amos 17,Amos 17,Israel,Military/Commercial,Communications,"35,793",2019-08-06
Amos 3,Amos 3,Israel,Military/Commercial,Communications,"35,789",2008-04-28
Amos 4,Amos 4,Israel,Military/Commercial,Communications,"35,796",2013-08-31
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,Civil,Communications,"1,459",1974-11-15
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,South Korea,Military,Communications,"35,792",2020-07-20
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,Civil,Space Science/Technology Demonstration,600,2020-06-13
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,ESA,Government,Communications,524,2019-12-18
Anik F1 ,Anik F1,Canada,Commercial,Communications,"35,793",2000-11-21
Anik F1R,Anik F1R,Canada,Commercial,Communications,"35,795",2005-09-09
Anik F2 ,Anik F2,Canada,Commercial,Communications,"35,790",2004-07-18
Anik F3,Anik F3,Canada,Commercial,Communications,"35,794",2007-04-09
Anik G1,Anik G1,Canada,Commercial,Communications,"35,799",2013-04-15
AprizeSat 1 (LatinSat-C),AprizeSat 1,Argentina,Commercial,Communications/Technology Development,764,2004-06-29
AprizeSat 10 (exactView-13),AprizeSat 10,USA/Argentina,Commercial,Communications/Maritime Tracking,733,2014-06-19
AprizeSat 2 (LatinSat-D),AprizeSat 2,Argentina,Commercial,Communications/Technology Development,850,2004-06-29
AprizeSat 3 ,AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,662,2009-07-29
AprizeSat 4 ,AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,674,2009-07-29
AprizeSat 5,AprizeSat 5,Canada,Commercial,Communications,694,2011-08-17
AprizeSat 7,AprizeSat 7,Canada,Commercial,Communications,653,2013-11-21
AprizeSat 8 (exactView-12),AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,669,2013-11-21
AprizeSat 9 (exactView-11),AprizeSat 9,Canada,Commercial,Communications/Maritime Tracking,715,2014-06-19
Apstar 6C,Apstar 6C,China,Commercial,Communications,"35,790",2018-05-03
Apstar 6D,Apstar 6D,China,Commercial,Communications,"35,885",2020-07-09
Apstar 7,Apstar 7,China,Commercial,Communications,"35,874",2012-03-31
Apstar 9,Apstar 9,China,Commercial,Communications,"35,788",2015-10-16
Arabsat 5C,Arabsat 5C,Multinational,Government,Communications,"35,805",2011-09-21
Arabsat 6A,Arabsat 6A,Multinational,Commercial,Communications,"35,811",2019-04-11
Arabsat 7F (Nimiq 1) ,Arabsat 7F,Multinational,Commercial,Communications,"35,794",1999-05-20
ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),ARCE 1A,USA,Civil,Technology Development,535,2021-01-24
ARCE 1B (Articulated Reconnaissance and Communications Expedition-1),ARCE 1B,USA,Civil,Technology Development,536,2021-01-24
ARCE 1C (Articulated Reconnaissance and Communications Expedition-1),ARCE 1C,USA,Civil,Technology Development,536,2021-01-24
ARICA,ARICA,Japan,Civil,Technology Development,572,2021-11-08
Arktika-M1,Arktika-M1,Russia,Government,Earth Observation,"39,754",2021-02-28
Arkyd-6A,Arkyd-6A,USA,Commercial,Technology Development,505,2018-01-11
ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),ARMADILLO,USA,Civil,Technology Development,851,2019-06-25
ArSat 1,ArSat 1,Argentina,Commercial,Communications,"35,795",2014-10-16
ArSat 2,ArSat 2,Argentina,Commercial,Communications,"35,801",2015-09-30
Arthur,Arthur,Belgium,Commercial,Earth Observation,535,2021-06-30
ASELSAT,ASELSAT,Turkey,Civil,Earth Observation,536,2021-01-24
AsiaSat-3S (Asiasat 3SA),AsiaSat-3S,China,Commercial,Communications,"35,792",1999-03-21
AsiaSat-5,AsiaSat-5,China,Commercial,Communications,"35,795",2009-08-11
AsiaSat-6 (Thaicom-7),AsiaSat-6,China,Commercial,Communications,"35,793",2014-09-07
AsiaSat-7,AsiaSat-7,China,Commercial,Communications,"35,793",2011-11-25
AsiaSat-8,AsiaSat-8,China,Commercial,Communications,"35,793",2014-08-05
AsiaSat-9,AsiaSat-9,China,Commercial,Communications,"35,790",2017-09-28
AsiaStar ,AsiaStar,USA,Commercial,Communications,"35,801",2000-03-21
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),ASNARO-1,Japan,Government,Earth Observation,507,2014-11-06
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),ASNARO-2,Japan,Government,Earth Observation,505,2018-01-17
ASTERISC (Asutarisuku),ASTERISC,Japan,Civil,Technology Development,573,2021-11-08
Astra 1D ,Astra 1D,Luxembourg,Commercial,Communications,"35,795",1994-11-01
Astra 1F ,Astra 1F,Luxembourg,Commercial,Communications,"35,797",1996-04-18
Astra 1G ,Astra 1G,Luxembourg,Commercial,Communications,"35,791",1997-12-02
Astra 1KR,Astra 1KR,Luxembourg,Commercial,Communications,"35,807",2006-04-20
Astra 1L,Astra 1L,Luxembourg,Commercial,Communications,"35,798",2007-05-04
Astra 1M,Astra 1M,Luxembourg,Commercial,Communications,"35,852",2008-11-05
Astra 1N,Astra 1N,Luxembourg,Commercial,Communications,"35,780",2011-08-06
Astra 2A ,Astra 2A,Luxembourg,Commercial,Communications,"35,797",1998-08-30
Astra 2B ,Astra 2B,Luxembourg,Commercial,Communications,"35,801",2000-09-14
Astra 2C ,Astra 2C,Luxembourg,Commercial,Communications,"35,804",2001-06-16
Astra 2D,Astra 2D,Luxembourg,Commercial,Communications,"35,802",2000-12-19
Astra 2E (Eutelsat 28E),Astra 2E,Luxembourg,Commercial,Communications,"35,793",2013-09-29
Astra 2F (Eutelsat 28F),Astra 2F,Luxembourg,Commercial,Communications,"35,795",2012-09-28
Astra 2G (Eutelsat 28G),Astra 2G,Luxembourg,Commercial,Communications,"35,789",2014-12-27
Astra 3A ,Astra 3A,Luxembourg,Commercial,Communications,"35,804",2002-03-29
Astra 3B,Astra 3B,Luxembourg,Commercial,Communications,"35,806",2010-05-21
Astra 5B,Astra 5B,Luxembourg,Commercial,Communications,"35,793",2014-03-22
Astranis Demosat-2,Astranis Demosat-2,USA,Commercial,Technology Development,505,2018-01-11
Astrocast-0101,Astrocast-0101 ,Switzerland,Commercial,Communications,534,2021-01-24
Astrocast-0102 ,Astrocast-0102 ,Switzerland,Commercial,Communications,535,2021-01-24
Astrocast-0103 ,Astrocast-0103 ,Switzerland,Commercial,Communications,536,2021-01-24
Astrocast-0104 ,Astrocast-0104 ,Switzerland,Commercial,Communications,537,2021-01-24
Astrocast-0105 ,Astrocast-0105 ,Switzerland,Commercial,Communications,535,2021-01-24
Astrocast-0201 ,Astrocast-0201 ,Switzerland,Commercial,Communications,535,2021-06-30
Astrocast-0202   ,Astrocast-0202   ,Switzerland,Commercial,Communications,536,2021-06-30
Astrocast-0203,Astrocast-0203,Switzerland,Commercial,Communications,536,2021-06-30
Astrocast-0204 ,Astrocast-0204 ,Switzerland,Commercial,Communications,536,2021-06-30
Astrocast-0205 ,Astrocast-0205 ,Switzerland,Commercial,Communications,535,2021-06-30
Astrosat,Astrosat,India,Government,Space Science,649,2015-09-28
AT&T T16,AT&T T16,USA,Commercial,Communications,"36,757",2019-06-20
Athena,Athena,USA,Commercial,Communications,524,2020-09-02
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),Athena-Fidus,France/Italy,Government/Military,Communications,"35,788",2014-02-06
Athenoxat-1 (Athene Noctua Experimental Satellite) ,Athenoxat-1,Singapore,Commercial,Technology Development,550,2015-12-16
Azerspace 1/Africasat-1a,Azerspace 1/Africasat-1a,Azerbaijan,Government,Communications,"35,794",2013-02-07
Azerspace 2/Intelsat-38,Azerspace 2/Intelsat-38,Azerbaijan,Government,Communications,"35,750",2018-09-25
Badr 4 (Arabsat 4B),Badr 4,Multinational,Government,Communications,"35,791",2006-11-08
Badr 5 (Arabsat 5B),Badr 5,Multinational,Government,Communications,"35,883",2010-06-03
Badr 5A (Arabsat 5A),Badr 5A,Multinational,Government,Communications,"35,623",2010-06-26
Badr 6 (Arabsat 4AR),Badr 6,Multinational,Government,Communications,"35,805",2008-07-07
Badr 7 (Arabsat 6B),Badr 7,Multinational,Government,Communications,"35,817",2015-11-10
Bangabandhu 1 ,Bangabandhu 1,Bangladesh,Government,Communications,"35,793",2018-05-11
Baoyun,Baoyun,China,Civil,Unknown,502,2021-12-06
BARS-M (Cosmos 2503),Cosmos 2503,Russia,Military,Earth Observation,586,2015-02-27
BARS-M (Cosmos 2515),Cosmos 2515,Russia,Military,Earth Observation,594,2016-03-24
BDSAGR-1,BDSAGR-1,China,Commercial,Earth Observation,634,2019-12-21
Beesat-5 (Berlin Experimental and Educational Satellite-5),Beesat-5,Germany,Civil,Technology Demonstration,558,2021-03-22
Beesat-6 (Berlin Experimental and Educational Satellite-6),Beesat-6,Germany,Civil,Technology Demonstration,562,2021-03-22
Beesat-7 (Berlin Experimental and Educational Satellite-7),Beesat-7,Germany,Civil,Technology Demonstration,562,2021-03-22
Beesat-8 (Berlin Experimental and Educational Satellite-8),Beesat-8,Germany,Civil,Technology Demonstration,556,2021-03-22
"Beesat-9 (Berlin Experimental and Educational Satellite-9, Tubsat-17)",Beesat-9,Germany,Civil,Technology Development,546,2019-07-05
Beidou 2-12 (Compass M3),Beidou 2-12,China,Military/Government,Navigation/Global Positioning,"21,595",2012-04-28
Beidou 2-13 (Compass M4),Beidou 2-13,China,Military/Government,Navigation/Global Positioning,"21,603",2012-04-28
Beidou 2-15 (Compass M6),Beidou 2-15,China,Military/Government,Navigation/Global Positioning,"21,574",2012-09-18
Beidou 2-16 (Compass G-6),Beidou 2-16,China,Military/Government,Navigation/Global Positioning,"35,799",2012-10-25
Beidou 2-17 (IGSO-6),Beidou 2-17,China,Military/Government,Navigation/Global Positioning,"35,890",2016-03-30
Beidou 2-18 (Compass G-7),Beidou 2-18,China,Military/Government,Navigation/Global Positioning,"35,794",2016-06-12
Beidou 3I-1S,Beidou 3I-1S,China,Military/Government,Navigation/Global Positioning,"36,781",2015-03-30
Beidou 3I-2S,Beidou 3I-2S,China,Military/Government,Navigation/Global Positioning,"35,953",2015-09-29
Beidou 3M1 ,Beidou 3-M1,China,Military/Government,Navigation/Global Positioning,"21,549",2017-11-05
Beidou 3M1 (Beidou 23),Beidou 3-23,China,Military/Government,Navigation/Global Positioning,"21,561",2019-09-22
Beidou 3M1 (Beidou 24),Beidou 3-24,China,Military/Government,Navigation/Global Positioning,"21,554",2019-09-22
Beidou 3M1 (Beidou 25),Beidou 3-25,China,Military/Government,Navigation/Global Positioning,"22,549",2017-11-05
Beidou 3M-1S,Beidou 3M-1S,China,Military/Government,Navigation/Global Positioning,"21,549",2015-07-25
Beidou 3M-2S,Beidou 3M-2S,China,Military/Government,Navigation/Global Positioning,"21,550",2015-07-25
Beidou DW 26,Beidou DW 26,China,Military/Government,Navigation/Global Positioning,"21,541",2018-01-11
Beidou DW 27,Beidou DW 27,China,Military/Government,Navigation/Global Positioning,"21,539",2018-01-11
Beidou DW 28,Beidou DW 28,China,Military/Government,Navigation/Global Positioning,"21,547",2018-02-12
Beidou DW 29,Beidou DW 29,China,Military/Government,Navigation/Global Positioning,"21,551",2018-02-12
Beidou DW 30,Beidou DW 30,China,Military/Government,Navigation/Global Positioning,"21,533",2018-03-29
Beidou DW 31,Beidou DW 31,China,Military/Government,Navigation/Global Positioning,"22,191",2018-03-29
Beidou DW 32,Beidou DW 32,China,Military/Government,Navigation/Global Positioning,"35,876",2018-07-09
Beidou DW 33,Beidou DW 33,China,Military/Government,Navigation/Global Positioning,"21,545",2018-07-29
Beidou DW 34,Beidou DW 34,China,Military/Government,Navigation/Global Positioning,"21,538",2018-07-29
Beidou DW 35,Beidou DW 35,China,Military/Government,Navigation/Global Positioning,"21,540",2018-08-24
Beidou DW 36,Beidou DW 36,China,Military/Government,Navigation/Global Positioning,"21,537",2018-08-24
Beidou DW 37,Beidou DW 37,China,Military/Government,Navigation/Global Positioning,"22,193",2018-09-19
Beidou DW 38,Beidou DW 38,China,Military/Government,Navigation/Global Positioning,"21,541",2018-09-19
Beidou DW 39,Beidou DW 39,China,Military/Government,Navigation/Global Positioning,"22,195",2018-10-15
Beidou DW 40,Beidou DW 40,China,Military/Government,Navigation/Global Positioning,"22,195",2018-10-15
Beidou DW 41,Beidou DW 41,China,Military/Government,Navigation/Global Positioning,"35,795",2018-11-01
Beidou DW 42,Beidou DW 42,China,Military/Government,Navigation/Global Positioning,"22,194",2018-11-18
Beidou DW 43,Beidou DW 43,China,Military/Government,Navigation/Global Positioning,"22,194",2018-11-18
Beidou DW 44,Beidou DW 44,China,Military/Government,Navigation/Global Positioning,"35,847",2019-04-20
Beidou DW 45,Beidou DW 45,China,Military/Government,Navigation/Global Positioning,"35,799",2019-05-17
Beidou DW 46,Beidou DW 46,China,Military/Government,Navigation/Global Positioning,"35,838",2019-06-24
Beidou DW 49 ,Beidou 3 IGSO-3,China,Military/Government,Navigation/Global Positioning,"35,896",2019-11-05
Beidou DW 50,Beidou DW 50,China,Military/Government,Navigation/Global Positioning,"22,194",2019-11-23
Beidou DW 51,Beidou DW 51,China,Military/Government,Navigation/Global Positioning,"22,192",2019-11-23
Beidou DW 52,Beidou DW 52,China,Military/Government,Navigation/Global Positioning,"21,561",2019-12-16
Beidou DW 53,Beidou DW 53,China,Military/Government,Navigation/Global Positioning,"22,108",2019-12-16
Beidou DW 55,Beidou DW 55,China,Military/Government,Navigation/Global Positioning,"35,809",2020-06-23
Beidou G3 (Compass G-3),Beidou G3,China,Military/Government,Navigation/Global Positioning,"35,797",2020-03-09
Beidou G4 (Compass G-4),Beidou G4,China,Military/Government,Navigation/Global Positioning,"35,809",2010-10-31
Beidou G5 (Compass G-11),Beidou G5,China,Military/Government,Navigation/Global Positioning,"35,799",2012-02-24
Beidou IGSO-1 (Compass G-5),Beidou IGSO-1,China,Military/Government,Navigation/Global Positioning,"35,893",2010-07-31
Beidou IGSO-2 (Compass G-7),Beidou IGSO-2,China,Military/Government,Navigation/Global Positioning,"35,817",2010-12-17
Beidou IGSO-3 (Compass G-8),Beidou IGSO-3,China,Military/Government,Navigation/Global Positioning,"37,872",2011-04-09
Beidou IGSO-4 (Compass G-9),Beidou IGSO-4,China,Military/Government,Navigation/Global Positioning,"35,879",2011-07-26
Beidou IGSO-5 (Compass G-10),Beidou IGSO-5,China,Military/Government,Navigation/Global Positioning,"35,864",2011-12-01
Beijing-3,Beijing-3,China ,Commercial,Earth Observation,502,2021-06-11
"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",BeijinGalaxy-1,China,Commercial,Earth Observation,703,2005-10-27
Belintersat-1,Belintersat-1,Belarus,Government,Communications,"35,792",2016-01-15
Bird 2 (Bispectral InfraRed Detector 2),Bispectral InfraRed Detector 2 (Bird 2),Germany,Government/Civil,Earth Observation/Technology Development,521,2001-10-22
BIROS (Bispectral Infrared Optical System),BIROS,Germany,Government,Earth Observation,517,2016-06-22
BisonSat (Nwist Qwiqway),BisonSat,USA,Civil,Earth Observation/Technology Development,801,2015-10-08
BKA 2 (BelKA 2),BKA 2,Belarus,Government,Earth Observation,507,2012-07-22
BlackSky Global 1,BlackSky Global 1,USA,Commercial,Earth Observation,500,2018-11-29
BlackSky Global 14,BlackSky Global 14,USA,Commercial,Earth Observation,439,2021-11-18
BlackSky Global 15,BlackSky Global 15,USA,Commercial,Earth Observation,438,2021-11-18
BlackSky Global 16,BlackSky Global 16,USA,Commercial,Earth Observation,439,2021-12-09
BlackSky Global 17,BlackSky Global 17,USA,Commercial,Earth Observation,440,2021-12-09
BlackSky Global 2,BlackSky Global 2,USA,Commercial,Earth Observation,591,2018-12-03
BlackSky Global 3,BlackSky Global 3,USA,Commercial,Earth Observation,461,2019-06-29
BlackSky Global 4,BlackSky Global 4,USA,Commercial,Earth Observation,549,2019-08-19
BlackSky Global 7,BlackSky Global 7,USA,Commercial,Earth Observation,410,2020-08-07
BlackSky Global 8,BlackSky Global 8,USA,Commercial,Earth Observation,410,2020-08-07
BlackSky Global 9,BlackSky Global 9,USA,Commercial,Earth Observation,460,2021-03-22
BlackSky Pathfinder 1,BlackSky Pathfinder 1,USA,Commercial,Earth Observation,701,2016-09-26
Blagovest-11L (Cosmos 2520),Cosmos 2520,Russia,Military/Commercial,Communications,"35,803",2017-08-16
Blagovest-12L (Cosmos 2526),Cosmos 2526,Russia,Military/Commercial,Communications,"35,794",2018-04-18
Blagovest-13L (Cosmos 2533),Cosmos 2533,Russia,Military/Commercial,Communications,"35,792",2018-12-20
Blagovest-14L (Cosmos 2539),Cosmos 2539,Russia,Military/Commercial,Communications,"35,829",2019-08-05
Bluewalker 1,Bluewalker 1,Lithuania,Commercial,Technology Development,519,2019-04-01
Bobcat-1,Bobcat-1,USA,Civil,Earth Science,418,2020-11-05
Brazilsat B-4 (Brasilsat B-4),Brazilsat B-4,Brazil,Commercial,Communications,"35,800",2000-08-17
Brik-II,Brik-II,Netherlands,Earth Observation,Signals Intelligence,521,2021-06-30
BRIO ,BRIO,USA,Commercial,Technology Development,591,2018-12-03
BRISat,BRISat,Indonesia,Commercial,Communications,"35,876",2016-06-19
BRITE-CA-1 (BRITE Toronto),BRITE-CA-1,Canada,Civil,Space Science,739,2014-06-19
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",BRITE-PL-2,Multinational,Government,Space Science,633,2014-08-19
BRO-1,BRO-1,France,Commercial,Earth Observation,550,2019-08-19
BRO-4,BRO-4,France,Commercial,Earth Observation,563,2021-08-17
BSAT-3A,BSAT-3A,Japan,Commercial,Communications,"35,794",2007-08-14
BSAT-3B,BSAT-3B,Japan,Commercial,Communications,"35,725",2010-10-28
BSAT-3C/JCSat 110-R,BSAT-3C/JCSat 110-R,Japan,Commercial,Communications,"35,787",2011-08-06
BSAT-4A,BSAT-4A,Japan,Commercial,Communications,"35,725",2017-09-29
BSAT-4B,BSAT-4B,Japan,Commercial,Communications,"35,798",2020-08-15
Buccaneer RMM,Buccaneer RMM,Australia,Military/Civil,Technology Development,819,2017-11-18
Bufeng-1A,Bufeng-1A,China,Government,Earth Observation,575,2019-06-05
Bufeng-1B,Bufeng-1B,China,Government,Earth Observation,576,2019-06-05
Bugsat-1 (Tita),Bugsat-1,Argentina,Commercial,Technology Development,617,2014-06-19
BulgariaSat-1,BulgariaSat-1,Bulgaria,Commercial,Communications,"35,797",2017-06-23
CACTUS-1 (Coordinated Applied Capitol Technology University Satellite 1),CACTUS-1,USA,Government/Civil,Technology Development,514,2021-01-17
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),Calipso,France/USA,Government,Earth Science,703,2006-04-28
CanX-2 (Canadian Advanced Nanospace experiment),CanX-2,Canada,Government/Civil,Technology Development,629,2008-04-28
CanX-4,CanX-4,Canada,Government/Civil,Technology Development,659,2014-06-30
CanX-5,CanX-5,Canada,Government/Civil,Technology Development,656,2014-06-30
CanX-7,CanX-7,Canada,Government/Civil,Technology Development,701,2016-09-26
CAPE-3 (Cajun Advanced Picosatellite Experiment-3),CAPE-3,USA,Civil,Technology Development,517,2021-01-17
Capella-1 (Denali),Capella-1,USA,Commercial,Earth Observation,591,2018-12-03
Capella-2 (Sequoia),Capella-2,USA,Commercial,Earth Observation,550,2020-08-31
Capella-3 (Whitney 1),Capella-3,USA,Commercial,Earth Observation,534,2021-01-24
Capella-4 (Whitney 2),Capella-4,USA,Commercial,Earth Observation,534,2021-01-24
Capella-5 (Whitney 3),Capella-5,USA,Commercial,Earth Observation,536,2021-06-30
Capella-6 (Whitney 4),Capella-6,USA,Commercial,Earth Observation,587,2021-05-06
CartoSat 1 (IRS P5),CartoSat 1,India,Government,Earth Observation,619,2005-05-05
"CartoSat 2 (IRS P7, CartoSat 2AT)",CartoSat 2,India,Government,Earth Observation,635,2007-01-10
CartoSat 2A,CartoSat 2A,India,Military,Earth Observation,643,2008-04-28
CartoSat 2B,CartoSat 2B,India,Government,Earth Observation,645,2010-07-12
CartoSat 2C,CartoSat 2C,India,Government,Earth Observation,519,2016-06-22
CartoSat 2D,CartoSat 2D,India,Government,Earth Observation,508,2017-02-15
CartoSat 2E,CartoSat 2E,India,Government,Earth Observation,347,2017-06-22
CartoSat 2F,CartoSat 2F,India,Government,Earth Observation,510,2018-01-11
CartoSat 3,CartoSat 3,India,Government,Earth Observation,519,2019-11-27
